,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV
88,1,0,1,0,12,1,2,1,0,2,2,0,2,2,0,1,2,103.4,6603.0,1,98,4352
89,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,1,76,4157
90,1,0,1,0,0,1,2,1,0,2,2,0,0,0,0,1,0,84.8,371.9,1,73,4939
91,0,1,0,0,4,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,1,97,4778
92,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,80.25,846.0,1,85,3598
93,1,1,1,0,5,0,1,0,2,0,0,0,0,0,0,0,1,30.75,805.1,1,91,2927
94,1,0,0,0,0,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,1,98,5383
95,1,0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,2,85.65,181.5,1,73,3878
96,0,0,1,0,4,1,2,1,0,0,2,2,2,2,0,1,0,104.95,2566.5,1,66,3642
97,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,50.65,50.65,1,76,2431
98,1,0,0,0,0,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,1,81,3424
99,1,1,1,0,2,1,0,2,1,1,1,1,1,1,0,0,3,19.95,214.75,1,80,5888
100,0,1,1,0,10,1,2,1,0,2,2,0,0,0,0,1,2,85.45,4874.7,1,100,5502
101,0,0,0,0,6,1,0,1,0,2,0,0,0,0,0,1,1,73.95,2524.45,1,94,5795
102,1,0,1,0,13,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6,1,80,4020
103,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9,1,92,3351
104,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,19.6,19.6,1,95,3448
105,1,1,0,0,0,1,2,1,0,2,0,0,0,0,0,1,2,81.35,233.7,1,73,2818
106,0,0,1,0,4,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1845.9,1,88,3804
107,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,75.3,75.3,1,67,4902
108,0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1182.55,1,82,4221
109,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,45.4,518.9,1,68,2887
110,0,0,0,0,11,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6396.45,1,84,4105
111,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,69.55,69.55,1,73,2792
112,0,0,1,0,5,1,0,1,0,0,0,0,0,2,0,1,2,81.05,2227.1,1,98,5201
113,1,0,1,0,0,1,2,1,0,0,2,0,2,2,0,0,2,101.15,385.9,1,84,4417
114,1,0,0,0,1,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25,1,98,2031
115,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,2,55.95,734.35,1,91,4498
116,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,55.0,55.0,1,71,4877
117,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,74.7,74.7,1,80,5980
118,1,0,0,0,4,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,1,77,4418
119,1,0,0,0,0,1,0,1,0,0,0,2,2,2,0,1,2,96.1,453.4,1,66,4192
120,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,69.0,994.8,1,73,5671
121,0,0,1,0,9,0,1,0,2,0,2,0,0,2,0,1,0,45.3,2145.0,1,65,4926
122,0,0,1,0,1,1,0,1,0,2,0,0,2,0,0,1,2,83.55,680.05,1,65,2879
123,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,74.35,74.35,1,93,2814
124,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,2,74.4,139.4,1,77,4263
125,1,0,0,0,4,0,1,0,0,2,2,0,0,2,1,1,0,43.75,903.6,1,66,3099
126,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,28.45,131.05,1,89,4099
127,0,0,0,0,2,1,2,1,2,2,2,0,0,2,0,1,0,99.7,1238.45,1,76,2538
128,0,1,0,0,3,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1782.4,1,87,2666
129,1,0,1,0,0,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5,1,72,3715
130,0,0,1,0,1,1,2,1,0,0,0,2,0,0,0,1,2,80.5,502.85,1,98,5032
131,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,74.35,334.8,1,82,5273
132,1,0,0,0,7,1,2,1,0,0,2,2,2,2,0,0,0,104.8,4131.95,1,88,3492
133,0,1,1,0,5,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1929.35,1,99,4517
134,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,75.6,1758.6,1,81,2115
135,1,0,1,0,6,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3480.0,1,72,2568
136,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,85.0,85.0,1,80,5679
137,1,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,0,86.05,834.1,1,85,2966
138,1,0,0,0,2,0,1,0,2,0,0,2,2,0,0,1,1,45.55,597.0,1,74,4856
139,1,0,1,0,7,1,0,1,0,2,0,0,2,0,0,1,3,86.3,3266.0,1,98,3364
140,1,0,0,0,6,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2596.15,1,92,5974
141,0,0,0,0,6,1,2,1,0,0,2,0,2,2,0,1,2,100.25,3527.6,1,72,2744
142,1,0,1,0,11,1,2,1,0,2,0,0,2,2,1,0,1,100.3,5614.45,1,67,5170
143,0,0,1,0,2,1,0,2,1,1,1,1,1,1,0,0,3,19.0,233.55,1,72,3535
144,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,3,75.3,75.3,1,87,3244
145,0,1,0,0,0,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,1,74,5808
146,0,1,0,0,0,1,2,1,0,0,0,0,2,0,0,1,2,85.7,85.7,1,66,4880
147,0,0,0,0,2,1,2,0,2,0,2,2,0,0,0,1,3,61.65,713.75,1,67,5670
148,0,1,1,0,12,1,2,1,2,0,2,0,2,2,0,0,0,105.25,6786.4,1,91,4196
149,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.95,248.95,1,83,2573
150,0,0,1,0,1,1,0,0,2,2,2,2,0,0,0,0,3,65.0,663.05,1,76,3983
151,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.0,137.6,1,100,4479
152,1,1,1,0,9,1,2,1,0,2,0,0,0,2,0,0,1,90.05,4547.25,1,96,5059
153,1,1,1,0,8,1,2,1,0,2,2,2,2,2,0,1,0,110.75,4687.9,1,65,2728
154,0,0,1,0,12,1,2,1,0,2,2,0,2,2,0,1,2,105.5,6985.65,1,89,5720
155,1,1,1,0,11,1,2,1,2,0,2,0,2,2,1,1,0,104.55,5794.65,1,91,6268
156,1,0,1,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.25,855.3,1,75,3573
157,0,0,1,0,8,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2499.3,1,65,2152
158,1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,1,99,4996
159,1,1,1,0,3,1,2,1,0,0,0,0,2,2,0,1,2,94.55,1899.65,1,84,5604
160,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,45.7,45.7,1,95,2295
161,0,1,0,0,0,1,2,1,0,2,0,0,0,2,0,0,2,89.5,161.5,1,80,2065
162,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,69.55,222.3,1,87,2876
163,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,3,74.6,74.6,1,94,3860
164,0,1,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.65,164.3,1,83,5432
165,1,0,1,0,0,1,0,2,1,1,1,1,1,1,1,0,3,19.85,35.9,1,68,2362
166,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,24.25,96.05,1,93,2038
167,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,69.65,145.15,1,80,2323
168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,45.65,191.05,1,78,2864
169,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,3,75.05,75.05,1,78,4838
170,1,1,0,0,10,0,1,0,0,2,0,0,2,2,0,1,2,49.15,2550.9,1,90,5597
171,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,34.7,62.25,1,65,3146
172,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,2,80.0,80.0,1,88,2046
173,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,49.25,91.1,1,89,3475
174,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,75.1,270.7,1,69,4965
175,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,2,50.15,168.15,1,86,3273
176,0,0,0,0,4,1,0,1,2,2,0,0,0,0,0,1,0,79.85,2015.35,1,85,4535
177,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55,1,66,3556
178,0,0,1,0,0,1,2,1,0,0,0,0,0,2,0,1,2,85.95,381.3,1,74,5640
179,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,45.35,141.5,1,67,2450
180,1,1,1,0,6,1,2,1,0,0,0,0,2,2,0,1,2,94.5,3105.55,1,96,4333
181,0,1,0,0,5,1,2,1,2,2,2,0,0,0,0,0,1,91.7,2758.15,1,97,2482
182,0,0,0,0,8,1,2,1,0,0,2,2,0,0,0,1,2,87.25,3941.7,1,73,5269
183,1,0,0,0,1,1,2,1,2,0,0,0,2,2,0,0,2,98.55,1008.55,1,80,3658
184,1,1,0,0,3,1,2,1,0,0,2,0,2,2,0,1,2,98.55,1842.8,1,92,5444
185,0,0,0,0,2,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1269.55,1,96,3579
186,0,0,0,0,4,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1907.85,1,82,3161
187,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,70.3,208.85,1,66,3038
188,1,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,1,77,5264
189,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9,1,100,4248
190,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,1,3,88.9,454.15,1,79,4356
191,1,0,1,0,6,1,0,1,0,0,2,0,2,2,1,1,2,95.8,3036.75,1,76,4161
192,1,0,0,0,0,1,2,1,0,2,0,0,0,0,0,1,2,82.0,184.65,1,97,3051
193,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,45.35,89.5,1,81,3478
194,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,52.2,52.2,1,71,4138
195,0,1,0,0,9,1,2,1,2,2,2,0,2,2,1,1,2,110.0,4874.8,1,81,2403
196,1,0,0,0,12,1,2,1,0,0,2,0,2,2,1,1,2,96.75,6125.4,1,92,5016
197,0,0,0,0,1,1,2,1,0,0,0,2,2,2,0,1,2,98.5,1058.25,1,74,5184
198,1,0,0,0,1,1,0,1,0,2,0,0,2,0,0,1,2,85.35,489.45,1,75,4694
199,1,0,1,0,7,1,2,1,0,2,0,0,2,2,0,1,2,101.3,4113.1,1,70,2576
200,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55,1,76,3042
201,1,0,0,0,11,1,2,1,0,2,2,0,2,2,1,1,0,103.25,6017.65,1,74,6105
202,1,0,0,0,13,1,2,1,2,0,0,2,2,2,2,1,1,104.0,7250.15,1,80,4544
203,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,1,3,86.2,178.7,1,95,2969
204,1,0,1,0,4,1,2,1,0,2,2,2,2,2,0,1,2,111.2,2317.1,1,89,4123
205,0,0,1,0,3,1,0,1,0,2,2,0,2,0,0,1,1,89.45,1430.25,1,73,3696
206,1,1,1,0,1,1,2,1,0,0,0,0,2,2,0,1,0,95.6,644.35,1,83,3265
207,1,0,1,0,11,1,0,1,0,2,2,0,2,0,1,0,2,90.95,5453.4,1,76,4111
208,0,0,1,0,9,1,2,1,2,2,0,2,2,2,1,0,2,108.55,5610.7,1,82,4274
209,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,78.85,292.8,1,72,5301
210,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,44.4,44.4,1,89,3522
211,0,1,0,0,10,1,2,1,0,0,2,0,2,2,1,1,2,100.0,5509.3,1,83,5679
212,0,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,0,19.8,229.6,1,94,2653
213,1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,89.9,89.9,1,80,5951
214,0,0,0,0,12,1,2,1,0,0,2,0,2,2,1,1,2,100.15,6413.65,1,91,5600
215,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,50.8,50.8,1,85,3718
216,1,1,1,0,3,1,0,1,0,2,0,0,0,0,0,1,2,73.65,1463.5,1,95,5849
217,0,0,0,0,0,1,0,1,0,2,0,0,2,2,0,1,2,95.1,307.4,1,77,5861
218,1,0,0,0,4,1,2,1,0,0,0,0,2,2,0,1,1,94.65,2104.55,1,85,3665
219,1,0,1,0,0,1,0,1,0,0,2,2,0,0,0,1,3,80.6,319.15,1,86,3080
220,1,0,1,0,11,1,2,1,0,0,0,0,0,2,1,0,2,85.55,5084.65,1,80,6304
221,0,0,0,0,11,0,1,0,0,2,0,0,2,2,0,1,2,50.8,3027.4,1,67,4941
222,0,0,0,0,2,1,0,1,2,0,2,2,2,2,0,0,2,105.1,1582.75,1,84,2122
223,1,0,0,0,1,1,0,1,2,2,2,2,2,2,0,1,2,110.1,1043.3,1,76,5803
224,0,0,0,0,1,1,0,1,0,0,2,0,0,2,0,0,2,83.9,497.55,1,97,3962
225,0,0,1,0,12,1,2,1,2,2,2,0,2,0,0,1,2,100.55,6215.35,1,79,5413
226,1,0,1,0,9,1,2,1,0,2,2,0,2,2,0,1,0,103.85,5017.9,1,100,5812
227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,24.6,24.6,1,76,5768
228,0,0,0,0,2,1,0,1,2,0,0,2,2,2,0,1,0,98.9,1120.95,1,71,5559
229,0,0,0,0,1,1,2,1,0,0,2,0,2,2,0,0,1,98.3,923.5,1,81,2954
230,1,0,0,0,3,1,0,1,2,0,0,0,2,2,0,0,2,93.85,1625.65,1,93,4940
231,1,1,0,0,1,1,2,1,0,0,2,0,2,2,0,1,2,100.5,918.6,1,70,4038
232,1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,72.85,688.65,1,99,3189
233,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,73.55,73.55,1,94,4369
234,0,1,0,0,0,1,2,1,0,2,0,0,0,0,0,1,2,79.4,205.05,1,91,3501
235,0,0,0,0,2,1,0,1,0,2,2,0,0,0,0,1,2,81.15,952.3,1,79,4806
236,0,1,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,84.6,360.1,1,83,2467
237,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,1,2,79.05,434.5,1,99,3263
238,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,74.4,215.8,1,97,2054
239,1,1,0,0,6,1,2,1,0,0,2,0,2,2,0,1,2,99.05,3395.8,1,82,2074
240,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,44.95,85.15,1,84,5900
241,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44.7,44.7,1,74,3700
242,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,45.7,45.7,1,72,3571
243,1,1,0,0,1,1,0,1,2,0,0,2,2,2,0,0,1,100.3,832.35,1,74,5084
244,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.25,112.3,1,82,4489
245,0,0,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,96.0,174.8,1,83,3391
246,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,2,90.55,90.55,1,72,2627
247,1,1,1,0,8,0,1,0,0,2,0,0,0,0,0,1,2,30.35,1359.7,1,96,4829
248,1,0,0,0,14,1,2,1,2,0,2,2,2,2,2,1,2,108.05,7532.15,1,81,5200
249,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,1,84,5367
250,1,1,1,0,12,1,2,1,0,2,2,0,2,2,1,1,2,103.75,6383.35,1,91,5052
251,1,0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,86.6,86.6,1,93,5228
252,0,1,1,0,6,1,2,1,0,2,0,0,0,0,0,1,0,80.6,2656.5,1,72,3601
253,0,0,0,0,6,1,2,1,0,2,0,2,0,0,0,0,1,85.3,2917.5,1,88,2455
254,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,1,1,70.0,2416.1,1,93,2318
255,0,1,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,94.3,424.45,1,99,5419
256,0,0,0,0,1,1,0,1,0,0,2,0,2,2,0,1,2,95.35,660.9,1,92,3077
257,1,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,75.5,1893.95,1,65,2377
258,0,0,0,0,3,1,2,1,0,0,0,2,0,2,0,1,2,90.1,1612.75,1,80,4260
259,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,68.95,119.75,1,84,5225
260,1,0,1,0,6,1,2,1,2,0,0,0,2,2,0,1,1,99.55,3204.65,1,71,5026
261,1,0,1,0,3,1,0,0,0,0,2,0,0,2,0,0,2,57.45,990.85,1,84,2989
262,1,0,1,0,2,1,0,0,0,0,0,0,0,2,1,0,1,53.65,696.35,1,78,2595
263,1,1,0,0,1,1,2,1,0,0,2,0,2,2,0,1,2,100.6,819.4,1,90,5906
264,1,0,1,0,5,1,2,1,0,0,0,0,2,0,0,1,2,83.75,2070.6,1,84,2404
265,0,1,1,0,0,1,0,1,2,0,0,2,2,0,0,1,3,88.3,273.75,1,68,4486
266,0,1,0,0,1,1,0,1,0,0,2,0,2,2,0,1,2,92.1,729.95,1,81,5662
